"Nombre Preferente","Idioma Nombre Preferente","Estatus Nombre Preferente","Variante","Idioma Variante","Grupo","Tipo Entidad","Municipio","Provincia","Comunidad Autónoma","Latitud A","Longitud A","Sistema de Referencia A","Latitud B","Longitud B","Sistema de Referencia B","Mapa","Fuente Nombre Preferente","Fuente Variante","Antes","Idioma Antes"
"Vinaròs","cat","Oficial",,,"POBLA","Población 2",,"Castelló/Castellón","Comunitat Valenciana","40º28'","0º28'","ED50","40º27'55""","0º27'56""","ETRS89","0571","REL",,,
"Agullent","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º49'","-0º33'","ED50","38º48'55""","-0º33'4""","ETRS89","0820","REL",,,
"Aielo de Malferit","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º53'","-0º35'","ED50","38º52'55""","-0º35'4""","ETRS89","0794","REL",,,
"Alaquàs","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º27'","-0º27'","ED50","39º26'55""","-0º27'4""","ETRS89","0722","REL",,,
"Albaida","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º50'","-0º31'","ED50","38º49'55""","-0º31'4""","ETRS89","0795","REL",,,
"Albal","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º24'","-0º25'","ED50","39º23'55""","-0º25'4""","ETRS89","0722","REL",,,
"Albalat de la Ribera","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º12'","-0º23'","ED50","39º11'55""","-0º23'4""","ETRS89","0747","REL",,,
"Albalat dels Sorells","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º33'","-0º21'","ED50","39º32'55""","-0º21'4""","ETRS89","0696","REL",,,
"Alberic","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º07'","-0º31'","ED50","39º6'55""","-0º31'4""","ETRS89","0770","REL",,"Alberique","spa"
"Alboraya","spa","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º30'","-0º21'","ED50","39º29'55""","-0º21'4""","ETRS89","0696","REL",,,
"Albuixech","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º33'","-0º19'","ED50","39º32'55""","-0º19'4""","ETRS89","0696","REL",,,
"Alcàsser","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º22'","-0º27'","ED50","39º21'55""","-0º27'4""","ETRS89","0722","REL",,"Alcácer","spa"
"l'Alcúdia de Crespins","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º58'","-0º35'","ED50","38º57'55""","-0º35'4""","ETRS89","0794","REL",,,
"l'Alcúdia","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º12'","-0º30'","ED50","39º11'55""","-0º30'4""","ETRS89","0747","REL",,,
"Aldaia","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º28'","-0º28'","ED50","39º27'55""","-0º28'4""","ETRS89","0722","REL",,,
"Alfafar","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º25'","-0º23'","ED50","39º24'55""","-0º23'4""","ETRS89","0722","REL",,,
"Alfara del Patriarca","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º33'","-0º23'","ED50","39º32'55""","-0º23'4""","ETRS89","0696","REL",,,
"Algemesí","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º11'","-0º26'","ED50","39º10'55""","-0º26'4""","ETRS89","0747","REL",,,
"Alginet","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º16'","-0º28'","ED50","39º15'55""","-0º28'4""","ETRS89","0747","REL",,,
"Almàssera","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º31'","-0º22'","ED50","39º30'55""","-0º22'4""","ETRS89","0696","REL",,,
"Almoines","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º57'","-0º11'","ED50","38º56'55""","-0º11'4""","ETRS89","0796","REL",,,
"Almussafes","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º18'","-0º25'","ED50","39º17'55""","-0º25'4""","ETRS89","0747","REL",,,
"Alzira","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º09'","-0º26'","ED50","39º8'55""","-0º26'4""","ETRS89","0770","REL",,,
"Anna","spa","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º01'","-0º39'","ED50","39º0'55""","-0º39'4""","ETRS89","0769","REL",,,
"Ayora","spa","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º04'","-1º03'","ED50","39º3'55""","-1º3'4""","ETRS89","0768","REL",,,
"Bellreguard","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º57'","-0º10'","ED50","38º56'55""","-0º10'4""","ETRS89","0796","REL",,,
"Benaguasil","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º36'","-0º35'","ED50","39º35'55""","-0º35'4""","ETRS89","0695","REL",,,
"Benetússer","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º25'","-0º24'","ED50","39º24'55""","-0º24'4""","ETRS89","0722","REL",,,
"Benifaió","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º17'","-0º26'","ED50","39º16'55""","-0º26'4""","ETRS89","0747","REL",,,
"Benifairó de les Valls","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º44'","-0º16'","ED50","39º43'55""","-0º16'4""","ETRS89","0668","REL",,,
"Benigánim","spa","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º57'","-0º27'","ED50","38º56'55""","-0º27'4""","ETRS89","0795","REL",,,
"Benimodo","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º13'","-0º32'","ED50","39º12'55""","-0º32'4""","ETRS89","0746","REL",,,
"Benisanó","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º37'","-0º35'","ED50","39º36'55""","-0º35'4""","ETRS89","0695","REL",,,
"Bétera","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º35'","-0º28'","ED50","39º34'55""","-0º28'4""","ETRS89","0696","REL",,,
"Bocairent","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º46'","-0º37'","ED50","38º45'55""","-0º37'4""","ETRS89","0820","REL",,,
"Bonrepòs i Mirambell","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º31'","-0º22'","ED50","39º30'55""","-0º22'4""","ETRS89","0696","REL",,,
"Buñol","spa","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º25'","-0º47'","ED50","39º24'55""","-0º47'4""","ETRS89","0721","REL",,,
"Burjassot","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º31'","-0º25'","ED50","39º30'55""","-0º25'4""","ETRS89","0696","REL",,,
"Canals","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º58'","-0º35'","ED50","38º57'55""","-0º35'4""","ETRS89","0794","REL",,,
"Canet d'En Berenguer","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º41'","-0º13'","ED50","39º40'55""","-0º13'4""","ETRS89","0668","REL",,,
"Carcaixent","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º07'","-0º27'","ED50","39º6'55""","-0º27'4""","ETRS89","0770","REL",,,
"Càrcer","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º04'","-0º34'","ED50","39º3'55""","-0º34'4""","ETRS89","0769","REL",,"Cárcer","spa"
"Carlet","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º13'","-0º31'","ED50","39º12'55""","-0º31'4""","ETRS89","0747","REL",,,
"Casinos","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º42'","-0º42'","ED50","39º41'55""","-0º42'4""","ETRS89","0667","REL",,,
"Castelló de Rugat","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º52'","-0º23'","ED50","38º51'55""","-0º23'4""","ETRS89","0795","REL",,,
"Catadau","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º17'","-0º34'","ED50","39º16'55""","-0º34'4""","ETRS89","0746","REL",,,
"Catarroja","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º24'","-0º24'","ED50","39º23'55""","-0º24'4""","ETRS89","0722","REL",,,
"Chella","spa","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º03'","-0º40'","ED50","39º2'55""","-0º40'4""","ETRS89","0769","REL",,,
"Cheste","spa","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º30'","-0º41'","ED50","39º29'55""","-0º41'4""","ETRS89","0721","REL",,,
"Chiva","spa","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º28'","-0º43'","ED50","39º27'55""","-0º43'4""","ETRS89","0721","REL",,,
"Corbera","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º09'","-0º21'","ED50","39º8'55""","-0º21'4""","ETRS89","0770","REL",,,
"Cullera","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º10'","-0º15'","ED50","39º9'55""","-0º15'4""","ETRS89","0770","REL",,,
"Daimús","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º58'","-0º09'","ED50","38º57'55""","-0º9'4""","ETRS89","0796","REL",,,
"l'Eliana","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º34'","-0º31'","ED50","39º33'55""","-0º31'4""","ETRS89","0695","REL",,,
"Enguera","spa","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º59'","-0º41'","ED50","38º58'55""","-0º41'4""","ETRS89","0794","REL",,,
"Faura","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º44'","-0º16'","ED50","39º43'55""","-0º16'4""","ETRS89","0668","REL",,,
"Favara","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","comunitat Valenciana","39º08'","-0º17'","ED50","39º7'55""","-0º17'4""","ETRS89","0770","REL",,,
"Foios","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º32'","-0º21'","ED50","39º31'55""","-0º21'4""","ETRS89","0696","REL",,,
"la Font de la Figuera","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º48'","-0º53'","ED50","38º47'55""","-0º53'4""","ETRS89","0819","REL",,,
"la Font d'En Carròs","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º55'","-0º10'","ED50","38º54'55""","-0º10'4""","ETRS89","0796","REL",,,
"Genovés","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º59'","-0º28'","ED50","38º58'55""","-0º28'4""","ETRS89","0795","REL",,,
"Godella","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º31'","-0º25'","ED50","39º30'55""","-0º25'4""","ETRS89","0696","REL",,,
"Guadassuar","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º11'","-0º29'","ED50","39º10'55""","-0º29'4""","ETRS89","0747","REL",,,
"Llíria","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º38'","-0º36'","ED50","39º37'55""","-0º36'4""","ETRS89","0695","REL",,,
"Llombai","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º17'","-0º34'","ED50","39º16'55""","-0º34'4""","ETRS89","0746","REL",,,
"la Llosa de Ranes","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º01'","-0º32'","ED50","39º0'55""","-0º32'4""","ETRS89","0769","REL",,"Llosa de Ranes","spa"
"Llutxent","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","38º57'","-0º21'","ED50","38º56'55""","-0º21'4""","ETRS89","0795","REL",,,
"Manises","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º30'","-0º28'","ED50","39º29'55""","-0º28'4""","ETRS89","0722","REL",,,
"Manuel","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º03'","-0º30'","ED50","39º2'55""","-0º30'4""","ETRS89","0770","REL",,,
"Massalfassar","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º33'","-0º20'","ED50","39º32'55""","-0º20'4""","ETRS89","0696","REL",,,
"Massamagrell","cat","Oficial",,,"POBLA","Población 2",,"València/Valencia","Comunitat Valenciana","39º34'","-0º20'","ED50","39º33'55""","-0º20'4""","ETRS89","0696","REL",,,
"Sierra de Segura","spa",,,,"OROGR","Sierra",,"Jaén","Andalucía","38º03'","-2º39'","ED50","38º2'55""","-2º39'4""","ETRS89","0908","1:1 millón",,,
"Sierra de Tolox","spa",,,,"OROGR","Sierra",,"Málaga","Andalucía","36º39'","-4º60'","ED50","36º38'55""","-5º0'4""","ETRS89","1065","1:1 millón",,,
"Sierra de Ubrique","spa",,,,"OROGR","Sierra",,"Cádiz","Andalucía","36º42'","-5º22'","ED50","36º41'55""","-5º22'4""","ETRS89","1050","1:1 millón",,,
"Sierra de Albarracín","spa",,,,"OROGR","Sierra",,"Teruel","Aragón","40º30'","-1º36'","ED50","40º23'55""","-1º26'4""","ETRS89","0565","1:1 millón",,,
"Sierra de Alcubierre","spa",,,,"OROGR","Sierra",,"Huesca","Aragón","41º44'","-0º23'","ED50","41º43'55""","-0º23'4""","ETRS89","0356","1:1 millón",,,
"Sierra de Algairen","spa",,,,"OROGR","Sierra",,"Zaragoza","Aragón","41º23'","-1º24'","ED50","41º22'55""","-1º24'4""","ETRS89","0410","1:1 millón",,,
"Sierra de Cucalón","spa",,,,"OROGR","Sierra",,"Teruel","Aragón","40º57'","-1º07'","ED50","40º56'55""","-1º7'4""","ETRS89","0492","1:1 millón",,,
"Sierra de Guara","spa",,,,"OROGR","Sierra",,"Huesca","Aragón","42º16'","-0º14'","ED50","42º15'56""","-0º14'4""","ETRS89","0248","1:1 millón",,,
"Sierra de Gúdar","spa",,,,"OROGR","Sierra",,"Teruel","Aragón","40º19'","-0º44'","ED50","40º18'55""","-0º44'4""","ETRS89","0591","1:1 millón",,,
"Sistema Ibérico","spa",,,,"OROGR","Sierra",,"Zaragoza","Aragón","41º05'","-1º29'","ED50","41º4'55""","-1º29'4""","ETRS89","0465","1:1 millón",,,
"Sierra de Javalambre","spa",,"Sierra de Jabalambre","spa","OROGR","Sierra",,"Teruel","Aragón","40º02'","-1º00'","ED50","40º1'55""","-1º0'4""","ETRS89","0613","Aragón","1:1 millón",,
"Sierra de Lidón","spa",,,,"OROGR","Sierra",,"Teruel","Aragón","40º44'","-1º10'","ED50","40º43'55""","-1º10'4""","ETRS89","0517","1:1 millón",,,
"Montes Malditos","spa",,,,"OROGR","Sierra",,"Huesca","Aragón","42º37'","0º42'","ED50","42º36'56""","0º41'56""","ETRS89","0180","1:1 millón",,,
"Sierra del Moncayo","spa",,,,"OROGR","Sierra",,"Zaragoza; Soria","Aragón; Castilla y León","41º45'","-1º48'","ED50","41º44'55""","-1º48'4""","ETRS89","0352","1:1 millón",,,
"Sierra Palomera","spa",,,,"OROGR","Sierra",,"Teruel","Aragón","40º34'","-1º09'","ED50","40º33'55""","-1º9'4""","ETRS89","0542","1:1 millón",,,
"Sierra de la Peña","spa",,,,"OROGR","Sierra",,"Huesca","Aragón","42º29'","-0º44'","ED50","42º28'56""","-0º44'4""","ETRS89","0209","1:1 millón",,,
"Pirineos","spa",,"Pirineus","cat","OROGR","Sierra",,,"Aragón; Cataluña/Catalunya; Navarra","42º40'","0º20'","ED50","42º39'56""","0º19'56""","ETRS89","0179","Atlas","Cataluña/Catalunya",,
"Sierra de Gistredo","spa",,,,"OROGR","Sierra",,"León","Castilla y León","42º55'","-6º06'","ED50","42º54'55""","-6º6'5""","ETRS89","0102","1:1 millón",,,
"Sierra de Gredos","spa",,,,"OROGR","Sierra",,"Ávila","Castilla y León","40º19'","-5º09'","ED50","40º18'55""","-5º9'4""","ETRS89","0578","1:1 millón",,,
"Sierra de Guadarrama","spa",,,,"OROGR","Sierra",,"Segovia","Castilla y León","40º52'","-3º58'","ED50","40º51'55""","-3º58'4""","ETRS89","0483","1:1 millón",,,
"Montes de León","spa",,,,"OROGR","Sierra",,"León","Castilla y León","42º32'","-6º24'","ED50","42º31'55""","-6º24'5""","ETRS89","0159","1:1 millón",,,
"Sierra de Neila","spa",,,,"OROGR","Sierra",,"Burgos","Castilla y León","42º05'","-3º09'","ED50","42º4'55""","-3º9'4""","ETRS89","0278","1:1 millón",,,
"Sierra de la Paramera","spa",,,,"OROGR","Sierra",,"Ávila","Castilla y León","40º29'","-4º58'","ED50","40º28'55""","-4º58'4""","ETRS89","0555","1:1 millón",,,
"Sierra de Pela","spa",,,,"OROGR","Sierra",,"Soria","Castilla y León","41º18'","-3º05'","ED50","41º17'55""","-3º5'4""","ETRS89","0433","1:1 millón",,,
"Sierra de la Peña de Francia","spa",,,,"OROGR","Sierra",,"Salamanca","Castilla y León","40º32'","-6º13'","ED50","40º31'55""","-6º13'5""","ETRS89","0551","1:1 millón",,,
"Sierra de Peña Labra","spa",,,,"OROGR","Sierra",,"Palencia","Castilla y León","42º58'","-4º22'","ED50","42º57'55""","-4º22'5""","ETRS89","0107","1:1 millón",,,
"Sierra de Solorio","spa",,,,"OROGR","Sierra",,"Soria","Castilla y León","41º08'","-2º07'","ED50","41º7'55""","-2º7'4""","ETRS89","0463","1:1 millón",,,
"Somosierra","spa",,,,"OROGR","Sierra",,"Segovia","Castilla y León","41º10'","-3º36'","ED50","41º9'55""","-3º36'4""","ETRS89","0458","1:1 millón",,,
"Sierra Segundera","spa",,,,"OROGR","Sierra",,"Zamora","Castilla y León","42º08'","-6º54'","ED50","42º7'55""","-6º54'5""","ETRS89","0267","1:1 millón",,,
"Sierra de Alcaraz","spa",,,,"OROGR","Sierra",,"Albacete","Castilla-La Mancha","38º36'","-2º24'","ED50","38º35'55""","-2º24'4""","ETRS89","0841","1:1 millón",,,
"Sierra de Alcudia","spa",,,,"OROGR","Sierra",,"Ciudad Real","Castilla-La Mancha","38º32'","-4º35'","ED50","38º31'55""","-4º35'4""","ETRS89","0834","1:1 millón",,,
"Sierra de Almadén","spa",,,,"OROGR","Sierra",,"Ciudad Real","Castilla-La Mancha","38º51'","-4º43'","ED50","38º50'55""","-4º43'4""","ETRS89","0782","1:1 millón",,,
"Sierra de Altomira","spa",,,,"OROGR","Sierra",,"Cuenca","Castilla-La Mancha","40º12'","-2º48'","ED50","40º11'55""","-2º48'4""","ETRS89","0585","1:1 millón",,,
"Sierra de Ayllón","spa",,,,"OROGR","Sierra",,"Guadalajara; Segovia","Castilla-La Mancha; Castilla y León","41º13'","-3º17'","ED50","41º12'55""","-3º17'4""","ETRS89","0432","1:1 millón",,,
"Altos de Cabrejas","spa",,,,"OROGR","Sierra",,"Cuenca","Castilla-La Mancha","40º05'","-2º28'","ED50","40º4'55""","-2º28'4""","ETRS89","0609","1:1 millón",,,
"Calar del Mundo","spa",,,,"OROGR","Sierra",,"Albacete","Castilla-La Mancha","38º26'","-2º22'","ED50","38º25'55""","-2º22'4""","ETRS89","0866","1:1 millón",,,
"Sierra de Calatrava","spa",,,,"OROGR","Sierra",,"Ciudad Real","Castilla-La Mancha","38º39'","-3º49'","ED50","38º38'55""","-3º49'4""","ETRS89","0837","1:1 millón",,,
"Sierra de la Calderina","spa",,,,"OROGR","Sierra",,"Toledo","Castilla-La Mancha","39º18'","-3º44'","ED50","39º17'55""","-3º44'4""","ETRS89","0737","1:1 millón",,,
"Altos de Chinchilla","spa",,,,"OROGR","Sierra",,"Albacete","Castilla-La Mancha","38º46'","-1º33'","ED50","38º45'55""","-1º33'4""","ETRS89","0817","1:1 millón",,,
"Sierra del Chorito","spa",,,,"OROGR","Sierra",,"Ciudad Real","Castilla-La Mancha","39º23'","-4º26'","ED50","39º22'55""","-4º26'4""","ETRS89","0710","1:1 millón",,,
"Serranía de Cuenca","spa",,,,"OROGR","Sierra",,"Cuenca","Castilla-La Mancha","40º10'","-1º57'","ED50","39º59'55""","-1º50'4""","ETRS89","0610","1:1 millón",,,
"Sierra Ministra","spa",,,,"OROGR","Sierra",,"Guadalajara; Soria","Castilla-La Mancha; Castilla y León","41º06'","-2º32'","ED50","41º5'55""","-2º32'4""","ETRS89","0461","1:1 millón",,,
"Sierra de Mira","spa",,,,"OROGR","Sierra",,"Cuenca","Castilla-La Mancha","39º48'","-1º19'","ED50","39º47'55""","-1º19'4""","ETRS89","0665","1:1 millón",,,
"Sierra del Pocito","spa",,,,"OROGR","Sierra",,"Ciudad Real","Castilla-La Mancha","39º20'","-4º08'","ED50","39º19'55""","-4º8'4""","ETRS89","0736","1:1 millón",,,
"Sierra de San Andrés","spa",,,,"OROGR","Sierra",,"Ciudad Real","Castilla-La Mancha","38º28'","-3º42'","ED50","38º27'55""","-3º42'4""","ETRS89","0862","1:1 millón",,,
"Sierra de San Vicente","spa",,,,"OROGR","Sierra",,"Toledo","Castilla-La Mancha","40º07'","-4º46'","ED50","40º6'55""","-4º46'4""","ETRS89","0602","1:1 millón",,,
"Sierra de Taibilla","spa",,,,"OROGR","Sierra",,"Albacete","Castilla-La Mancha","38º05'","-2º20'","ED50","38º4'55""","-2º20'4""","ETRS89","0909","1:1 millón",,,
"Montes de Toledo","spa",,,,"OROGR","Sierra",,"Toledo","Castilla-La Mancha","39º30'","-4º22'","ED50","39º29'55""","-4º22'4""","ETRS89","0710","1:1 millón",,,
"Sierra de Tragacete","spa",,,,"OROGR","Sierra",,"Cuenca","Castilla-La Mancha","40º22'","-1º55'","ED50","40º21'55""","-1º55'4""","ETRS89","0564","1:1 millón",,,
"Serra de l'Albera","cat",,,,"OROGR","Sierra",,"Girona","Cataluña/Catalunya","42º24'","2º56'","ED50","42º23'56""","2º55'56""","ETRS89","0220","1:1 millón",,,
"Serra del Boix","cat",,,,"OROGR","Sierra",,"Tarragona","Cataluña/Catalunya","40º56'","0º38'","ED50","40º55'55""","0º37'56""","ETRS89","0497","Cataluña/Catalunya",,,
"Serra de Boumort","cat",,,,"OROGR","Sierra",,"Lleida","Cataluña/Catalunya","42º15'","1º11'","ED50","42º14'56""","1º10'56""","ETRS89","0253","Cataluña/Catalunya",,,
"el Cadí","cat",,,,"OROGR","Sierra",,"Lleida","Cataluña/Catalunya","42º17'","1º41'","ED50","42º16'56""","1º40'56""","ETRS89","0254","Cataluña/Catalunya",,,
"Serra de Cardó","cat",,,,"OROGR","Sierra",,"Tarragona","Cataluña/Catalunya","40º56'","0º31'","ED50","40º55'55""","0º30'56""","ETRS89","0497","Cataluña/Catalunya",,,
"Serra de Castelltallat","cat",,,,"OROGR","Sierra",,"Barcelona","Cataluña/Catalunya","41º47'","1º38'","ED50","41º46'56""","1º37'56""","ETRS89","0362","1:1 millón",,,
"Serra d'Ensija","cat",,,,"OROGR","Sierra",,"Barcelona","Cataluña/Catalunya","42º11'","1º44'","ED50","42º10'56""","1º43'56""","ETRS89","0254","Cataluña/Catalunya",,,
"Massís de Garraf","cat",,,,"OROGR","Sierra",,"Barcelona","Cataluña/Catalunya","41º17'","1º52'","ED50","41º16'56""","1º51'56""","ETRS89","0448","Cataluña/Catalunya",,,
"les Gavarres","cat",,,,"OROGR","Sierra",,"Girona","Cataluña/Catalunya","41º54'","2º58'","ED50","41º53'56""","2º57'56""","ETRS89","0334","Cataluña/Catalunya",,,
"Montnegre","cat",,,,"OROGR","Sierra",,"Barcelona","Cataluña/Catalunya","41º39'","2º33'","ED50","41º38'56""","2º32'56""","ETRS89","0394","Cataluña/Catalunya",,,
"Montsant","cat",,,,"OROGR","Sierra",,"Tarragona","Cataluña/Catalunya","41º19'","0º58'","ED50","41º18'56""","0º57'56""","ETRS89","0445","1:1 millón",,,
"Serra de Montsec","cat",,,,"OROGR","Sierra",,"Lleida","Cataluña/Catalunya","42º02'","0º52'","ED50","42º1'56""","0º51'56""","ETRS89","0290","1:1 millón",,,
"Montseny","cat",,,,"OROGR","Sierra",,"Girona","Cataluña/Catalunya","41º46'","2º30'","ED50","41º45'56""","2º29'56""","ETRS89","0365","1:1 millón",,,
"Montserrat","cat",,,,"OROGR","Sierra",,"Barcelona","Cataluña/Catalunya","41º37'","1º44'","ED50","41º36'55""","-1º44'4""","ETRS89","0391","1:1 millón",,,
"el Port del Comte","cat",,,,"OROGR","Sierra",,"Lleida","Cataluña/Catalunya","42º09'","1º31'","ED50","42º8'56""","1º30'56""","ETRS89","0292","Cataluña/Catalunya",,,
"Sant Llorenç del Munt","cat",,,,"OROGR","Sierra",,"Barcelona","Cataluña/Catalunya","41º43'","2º04'","ED50","41º42'56""","2º3'56""","ETRS89","0363","Cataluña/Catalunya",,,
"Sierra de Abodi/Abodi mendikatea","spa/eus",,,,"OROGR","Sierra",,"Navarra","Comunidad Foral de Navarra","42º56'","-1º03'","ED50","42º55'56""","-1º3'4""","ETRS89","0117","Navarra",,,
"Sierra de Andia/Andimendi","spa/eus",,,,"OROGR","Sierra",,"Navarra","Comunidad Foral de Navarra","42º51'","-1º54'","ED50","42º50'56""","-1º54'4""","ETRS89","0114","Navarra",,,
"Sierra Aralar/Aralar mendikatea","spa/eus",,,,"OROGR","Sierra",,"Navarra; Gipuzkoa","Comunidad Foral de Navarra; País Vasco/Euskadi","42º57'","-1º57'","ED50","42º56'56""","-1º57'4""","ETRS89","0114","Navarra",,,
"Sierra de Izco/Izkoko mendikatea","spa/eus",,,,"OROGR","Sierra",,"Navarra","Comunidad Foral de Navarra","42º38'","-1º31'","ED50","42º37'56""","-1º31'4""","ETRS89","0174","Navarra",,,
"Sierra de Leire/Leire mendikatea","spa/eus",,,,"OROGR","Sierra",,"Navarra","Comunidad Foral de Navarra","42º40'","-1º05'","ED50","42º39'56""","-1º5'4""","ETRS89","0175","Navarra",,,
"Sierra Urbasa/Urbasa mendikatea","spa/eus",,,,"OROGR","Sierra",,"Navarra","Comunidad Foral de Navarra","42º49'","-2º07'","ED50","42º48'56""","-2º7'4""","ETRS89","0140","Navarra",,,
"Serra d'Agullent","cat",,,,"OROGR","Sierra",,"Alacant/Alicante","Comunitat Valenciana","38º48'","-0º32'","ED50","38º47'55""","-0º32'4""","ETRS89","0821","C. Valenciana",,,
"Serra d'Aitana","cat",,,,"OROGR","Sierra",,"Alacant/Alicante","Comunitat Valenciana","38º39'","-0º16'","ED50","38º38'55""","-0º16'4""","ETRS89","0847","C. Valenciana",,,
"Sierra de la Calderona/Serra de la Calderona","spa/cat",,"Serra de Portaceli","cat","OROGR","Sierra",,"València/Valencia","Comunitat Valenciana","39º45'","-0º31'","ED50","39º44'55""","-0º31'4""","ETRS89","0667","C. Valenciana","C. Valenciana",,
